"variable","p_value"
"Age",1.33903245928087e-225
"C Reactive Protein",0.644909729266994
"Townsend Deprivation Index",2.99819419035371e-08
"Pooled Cohort Equation Risk",1.41394332788266e-27
"LE8 Diet Score",4.79987920555177e-05
"LE8 PA Score",0.267171046220547
"LE8 Smoking Score",0.101672660169739
"LE8 Sleep Health Points",0.354173822595168
"LE8 BMI Points",0.000302744187352285
"LE8 Blood Lipid Points",0.328672018425653
"LE8 HbA1c Score",0.240000516815929
"LE8 BP Score",0.0329836495231885
"LE8 Composite Score",0.000585372314426846
