"Exposure","Term","OR","CI_lower","CI_upper","P_value"
"df1","df1",1.13622121399789,1.07201373474444,1.20427435330072,1.68424228017257e-05
"df2","df2",1.12724267552609,1.06230204098158,1.19615326009644,7.60868701276972e-05
"df3","df3",1.15363710060183,1.08757155518974,1.22371585900186,2.0335250075769e-06
"df4","df4",1.25508688204512,1.18153440161561,1.33321812663919,1.65600290866757e-13
"df5","df5",1.24523528384223,1.1745281819439,1.32019898369684,1.92952313349719e-13
"df6","df6",1.17142247977278,1.10495175164262,1.24189189625434,1.10515534191436e-07
"df7","df7",1.12239804103841,1.057973525181,1.19074564017217,0.000128879937118946
"df8","df8",1.26007154831059,1.18812358472111,1.33637638986398,1.293151684234e-14
"df9","df9",1.17016825352377,1.10414628113106,1.24013798257981,1.13518865245037e-07
"df10","df10",1.10430807597099,1.04039559998168,1.17214675521141,0.0011065890030815
"df11","df11",1.23942826564842,1.16859843688731,1.3145511556391,8.70787993496398e-13
"df12","df12",1.23177043454821,1.16271189191429,1.3049306659529,1.42909478074167e-12
"df13","df13",1.23871434012795,1.16796630193744,1.31374784862656,9.70768342299147e-13
"df14","df14",1.096508945332,1.03390779417784,1.16290047716411,0.00212781136472532
"df15","df15",1.25350309780289,1.18225351023311,1.32904660684123,3.80554435478117e-14
"df16","df16",1.15339032891792,1.08854081818019,1.22210323087873,1.34152348279616e-06
"df17","df17",1.16671459952355,1.1012939373193,1.2360214749341,1.63059209578597e-07
"df18","df18",1.17080743942794,1.10512721414513,1.24039118996829,8.62280764427187e-08
"df19","df19",1.22110397190832,1.15109444303194,1.29537147819322,3.32966048948979e-11
"df20","df20",1.18441022514386,1.11653774208312,1.25640856421751,1.89638288752085e-08
"df21","df21",1.24053092367039,1.169664315064,1.31569113698943,6.87585919158896e-13
"df22","df22",1.22455754730872,1.15510117309333,1.29819034176463,1.04709547143928e-11
"df23","df23",1.25387981044089,1.18184052383172,1.33031026380269,6.66469091418518e-14
"df24","df24",1.24208411316975,1.17059797252615,1.31793577333759,7.59194554726671e-13
"df25","df25",1.28240849821957,1.20869261889201,1.36062016976106,1.79230713656423e-16
"df26","df26",1.27604921767562,1.20251720709283,1.35407759350661,8.27326693930413e-16
"df27","df27",1.24065763365132,1.16911181086567,1.31658182701753,1.11286449043226e-12
"df28","df28",1.11989001874479,1.0548134540737,1.18898147273403,0.000209639955422691
"df29","df29",1.24080204720961,1.17006513348969,1.31581539889816,5.83167684420442e-13
"df30","df30",1.25787216561618,1.18609909637213,1.33398835718825,1.95317669684304e-14
"df31","df31",1.19258455805886,1.12458555187171,1.26469518104096,4.10431238015302e-09
"df32","df32",1.25739904808344,1.1854139563722,1.33375548484323,2.63708204019525e-14
"df33","df33",1.60173733670367,1.51024908689159,1.69876778477054,1.53282515357798e-55
"df34","df34",1.29573551003269,1.22166982321318,1.37429154756711,6.28906218450766e-18
"df35","df35",1.24683704407509,1.16751998001886,1.33154262118307,4.75077538622355e-11
"df36","df36",1.51133024784181,1.4241666857044,1.60382849912814,2.78565947152037e-42
"df37","df37",1.59617314082504,1.50422786373051,1.69373853318523,7.79182993544713e-54
"df38","df38",1.68466927467512,1.58863360113887,1.78651047226987,6.15812612869122e-68
"df39","df39",1.27688688876331,1.20294296948707,1.35537608020674,9.67874425202359e-16
"df40","df40",1.24815051008689,1.17475666303557,1.32612969549337,7.55050205547835e-13
"df41","df41",1.24481867835151,1.17040953327111,1.3239584076541,3.31281577287795e-12
"df42","df42",1.23099868377605,1.157310713271,1.3093784945405,4.13792332538662e-11
"df43","df43",1.24712609733748,1.17374637611564,1.32509333729094,9.47714358809508e-13
"df44","df44",1.25172633929335,1.17728947944893,1.33086964237048,7.08151330886928e-13
"df45","df45",1.16891849861422,1.10201382699107,1.23988503858726,2.0995511565543e-07
"df46","df46",1.17976286689621,1.11241745361193,1.25118535095613,3.53735668457821e-08
"df47","df47",1.10762358318282,1.04437957358767,1.17469743094297,0.000655402891971305
"df48","df48",1.11735834538242,1.05378460560802,1.18476742339141,0.000204937651857301
"df49","df49",1.06332682724372,1.00282275919274,1.12748133323816,0.0399460561152186
"df50","df50",1.1521718849847,1.0857146841631,1.22269696810122,2.96654878538437e-06
"df51","df51",1.12561627641685,1.06142975898445,1.19368426503021,7.81044621692849e-05
"df52","df52",1.29260620147039,1.21558393879018,1.37450877620397,2.64984657584231e-16
"df53","df53",1.29383696927145,1.21869537513446,1.37361159909944,3.19891771281372e-17
"df54","df54",1.32514059418031,1.24369083166927,1.41192453110525,3.36957534457747e-18
"df55","df55",1.30080569983084,1.22640867903703,1.37971583015952,2.0927263693522e-18
"df56","df56",1.26790811056238,1.19504946972806,1.3452087277991,3.79962760162651e-15
"df57","df57",1.24950600922316,1.17791869040708,1.32544400543066,1.36316782903007e-13
"df58","df58",1.2975220628439,1.22328868093099,1.37626018274396,4.50892704809184e-18
