Quantile,Cutoff,HR,CI_lower,CI_upper,P_value,HR_diff
0.93,33.1,1.36654524887452,1.24675502598616,1.4978451085404,2.52926883197886e-11,2.51345475112548
0.92,32.7,1.36429119813385,1.25124503130894,1.4875507408476,1.93809039463855e-12,2.51570880186615
0.95,34.3,1.35911436533782,1.21622238339441,1.51879449292177,6.17085582397132e-08,2.52088563466218
0.94,33.6,1.3483742044426,1.2200316013974,1.49021795265284,4.71337541350976e-09,2.53162579555741
0.89,31.6,1.34759740007643,1.25162839042109,1.45092486443343,2.48346225544192e-15,2.53240259992357
0.91,32.3,1.34441767719077,1.23847148700752,1.45942713231964,1.58428127285708e-12,2.53558232280923
0.9,31.9,1.32988059694026,1.23053515148215,1.43724655081001,6.16135238839076e-13,2.55011940305974
0.79,29.4,1.32131116081277,1.24934208740273,1.39742605431462,1.83778548785287e-22,2.55868883918723
0.74,28.6,1.32114369529871,1.25423161529757,1.39162547199339,8.44371322182657e-26,2.5588563047013
0.73,28.5,1.32031891659043,1.25394697480857,1.39020395321952,4.59791542111983e-26,2.55968108340957
0.88,31.3,1.31923464250567,1.22836340995723,1.41682830006119,2.77289451908498e-14,2.56076535749433
0.76,28.9,1.31682942734365,1.24838041519166,1.38903151604792,5.21817241908417e-24,2.56317057265635
0.77,29,1.31557879348884,1.24659165674628,1.38838372013091,1.85974698123088e-23,2.56442120651116
0.78,29.2,1.31456216072838,1.24429722184019,1.38879493105611,1.69769210695913e-22,2.56543783927162
0.68,27.8,1.31390712335977,1.25067154365433,1.38033997621096,2.03509641192011e-27,2.56609287664023
0.72,28.3,1.31380815374157,1.2486585925108,1.3823569350266,7.15709158202655e-26,2.56619184625843
0.75,28.7,1.31374186883783,1.24660279325914,1.38449689610051,2.07477327474469e-24,2.56625813116217
0.67,27.7,1.31324050191466,1.25032519160927,1.37932165763161,1.45428839975025e-27,2.56675949808534
0.8,29.5,1.31297066332835,1.24056814066286,1.38959877031807,5.02714913769338e-21,2.56702933667165
0.81,29.7,1.31263552211214,1.23870306556152,1.39098066503093,3.67272241320892e-20,2.56736447788786
0.96,35,1.31185436480527,1.15607655713979,1.48862275930619,2.56884890391554e-05,2.56814563519473
0.82,29.9,1.31141113148434,1.23580744300884,1.39164006942198,3.60410136424038e-19,2.56858886851566
0.85,30.5,1.31017730512188,1.22906084840704,1.39664734506941,1.18160673719138e-16,2.56982269487812
0.87,31,1.30958638141143,1.22290860889907,1.40240773341372,1.16797873480968e-14,2.57041361858857
0.66,27.6,1.30931368629134,1.24684966725389,1.374906994911,3.23378500677314e-27,2.57068631370866
0.83,30.1,1.30873689686911,1.23151319113875,1.39080301985463,4.2879018130203e-18,2.57126310313089
0.65,27.4,1.30758374691943,1.24567082687545,1.37257389217064,2.3211205266798e-27,2.57241625308057
0.69,27.9,1.30716364787596,1.24388844221452,1.37365759206379,3.65484700049201e-26,2.57283635212405
0.64,27.3,1.30576043207044,1.24412453048478,1.37044987393378,2.95794156044148e-27,2.57423956792956
0.84,30.3,1.30491640446414,1.2259371729358,1.38898375890002,6.55051811302859e-17,2.57508359553586
0.86,30.8,1.30268266968066,1.21851348833346,1.39266586224438,8.55032433983584e-15,2.57731733031934
0.99,39.8,1.30246424207126,0.991073512749119,1.71169250318134,0.0580073024215844,2.57753575792874
0.71,28.2,1.30229015624168,1.23804825813705,1.36986554433343,1.40935614597822e-24,2.57770984375832
0.63,27.2,1.29569962065193,1.2346961027163,1.35971718325195,6.4075403068261e-26,2.58430037934807
0.7,28.1,1.29400502291344,1.23054358680406,1.36073928407042,9.58389076016841e-24,2.58599497708656
0.57,26.6,1.29087807131156,1.23062591696984,1.35408020586478,1.19699751892267e-25,2.58912192868844
0.56,26.5,1.29010273402282,1.22988206453932,1.35327208382097,1.56603298333289e-25,2.58989726597718
0.6,26.9,1.28652642897569,1.22632946586245,1.34967828673098,6.71017755190708e-25,2.59347357102431
0.62,27.1,1.28577379254611,1.22536651932125,1.34915898184826,1.34032078646764e-24,2.59422620745389
0.58,26.7,1.28344329270752,1.22351070714652,1.34631162275448,1.49297110397523e-24,2.59655670729248
0.59,26.8,1.28299120123357,1.2230317883627,1.34589013802036,1.88875754888413e-24,2.59700879876643
0.61,27,1.2823513909071,1.22223586100925,1.34542369621156,3.24615176446337e-24,2.5976486090929
0.44,25.3,1.28186562365993,1.219577243804,1.34733530448289,1.50682605796055e-22,2.59813437634007
0.46,25.5,1.28133208575971,1.21980629777319,1.34596117186354,5.40320555842679e-23,2.59866791424029
0.5,25.9,1.28106134221191,1.2206224595114,1.34449284438589,9.6507532740792e-24,2.59893865778809
0.47,25.6,1.2809480363704,1.21976251911013,1.3452027310023,3.57853298364869e-23,2.5990519636296
0.55,26.4,1.2790021830539,1.2192688694713,1.34166189690875,6.49908390365863e-24,2.6009978169461
0.3,24,1.2789137540056,1.20795411233403,1.35404182450633,2.99198748591439e-17,2.6010862459944
0.45,25.4,1.27661884070323,1.21499213906454,1.34137136532691,3.88268157035915e-22,2.60338115929677
0.42,25.2,1.27441286627804,1.21211866299644,1.33990854469649,2.46367705429121e-21,2.60558713372196
0.43,25.2,1.27441286627804,1.21211866299644,1.33990854469649,2.46367705429121e-21,2.60558713372196
0.49,25.8,1.27396443315345,1.21367848658901,1.33724490865889,1.24922351925778e-22,2.60603556684655
0.41,25.1,1.27382416626641,1.21109944501136,1.33979749825505,5.76788789907321e-21,2.60617583373359
0.48,25.7,1.27356842818408,1.21305134438422,1.33710460713485,2.12646383177607e-22,2.60643157181592
0.52,26.1,1.27354430376326,1.21380347511306,1.33622544909651,5.94921626047527e-23,2.60645569623674
0.51,26,1.27265476251594,1.21281460160435,1.33544743146395,9.99975052545769e-23,2.60734523748406
0.54,26.3,1.27009822125991,1.21073048884639,1.33237702899894,1.25188364734924e-22,2.60990177874009
0.29,23.9,1.26999020091146,1.19864062199588,1.34558689303011,5.41940685437662e-16,2.61000979908855
0.4,25,1.26964658876758,1.20664415704451,1.33593856229951,3.79483547981821e-20,2.61035341123242
0.31,24.1,1.26895976826745,1.1996091515195,1.34231961421911,9.82834343790673e-17,2.61104023173255
0.38,24.8,1.26802787744066,1.20405268885592,1.33540227337931,2.46852243536258e-19,2.61197212255934
0.53,26.2,1.2656012931523,1.20636666779409,1.32774443789768,5.90366809307615e-22,2.6143987068477
0.28,23.8,1.26458018785682,1.19262097414304,1.34088120718241,4.06197436336786e-15,2.61541981214318
0.39,24.9,1.2641393591972,1.20094964351335,1.33065389386057,3.28154617758483e-19,2.6158606408028
0.37,24.7,1.26274232288391,1.19842052328884,1.33051641140657,2.21831633148025e-18,2.61725767711609
0.26,23.6,1.26222681257047,1.18812002674708,1.34095587188596,4.56925679380339e-14,2.61777318742953
0.36,24.6,1.25913616367029,1.19436502786055,1.32741987723993,1.21272708064273e-17,2.62086383632971
0.35,24.5,1.25882916449593,1.19340884236756,1.32783569982755,2.82703615601197e-17,2.62117083550407
0.34,24.4,1.25795884331826,1.19184332760559,1.32774200671306,8.00621788466194e-17,2.62204115668174
0.33,24.3,1.25753644514192,1.19066841881572,1.3281597847645,2.03628860324319e-16,2.62246355485808
0.32,24.2,1.25242449394984,1.18510024908422,1.32357335529853,1.41581815449259e-15,2.62757550605016
0.12,22,1.24966984329734,1.1474942122853,1.36094343703628,3.03531206024842e-07,2.63033015670266
0.27,23.7,1.24943713206882,1.17744665036765,1.32582919702129,1.91199512729246e-13,2.63056286793118
0.25,23.5,1.24911374446222,1.17477659599225,1.32815477591853,1.19943750732415e-12,2.63088625553779
0.19,22.9,1.24522975476749,1.16236605052139,1.334000714717,4.31204078971073e-10,2.63477024523251
0.13,22.1,1.24503429682368,1.14584250618082,1.35281279225178,2.292639342604e-07,2.63496570317632
0.24,23.4,1.24388598617463,1.16863834859507,1.32397875567042,7.14417294909442e-12,2.63611401382537
0.2,23,1.24063601306378,1.15978601219009,1.32712215937513,3.58005873357591e-10,2.63936398693622
0.14,22.2,1.23643991164051,1.14055347039314,1.3403875353346,2.56149662912274e-07,2.64356008835949
0.18,22.7,1.23466096520774,1.14934086399272,1.32631471373261,7.94267089315213e-09,2.64533903479226
0.23,23.3,1.23232215621229,1.15668540593617,1.31290486496854,1.02017575055409e-10,2.64767784378771
0.97,36,1.23171204331614,1.05832779112674,1.43350157708213,0.00709551784624678,2.64828795668386
0.22,23.2,1.22378497646781,1.14740640173985,1.30524778871495,8.15346287114613e-10,2.65621502353219
0.17,22.6,1.2218548410498,1.13604442874673,1.31414688969851,6.9224233812406e-08,2.6581451589502
0.11,21.8,1.22154762509822,1.1169948727153,1.33588670533087,1.16762085985174e-05,2.65845237490178
0.21,23.1,1.22004575584721,1.14252704491023,1.30282399265021,2.88279335968624e-09,2.65995424415279
0.15,22.4,1.2118811886394,1.12308928494443,1.30769301698993,7.4188483500568e-07,2.6681188113606
0.05,20.6,1.20899176433672,1.06026025637411,1.37858707562294,0.00460248603113914,2.67100823566329
0.04,20.3,1.20703900813242,1.04195533459856,1.39827794798385,0.0121527908415036,2.67296099186758
0.03,20,1.20520525769283,1.02008555491932,1.4239194998554,0.028257753504562,2.67479474230717
0.09,21.5,1.20142664712618,1.09031107928888,1.32386620281461,0.000210408731015168,2.67857335287382
0.16,22.5,1.20045998321722,1.11475560925879,1.29275346034284,1.33432511074491e-06,2.67954001678278
0.07,21.1,1.1836991648961,1.06114898387069,1.32040244515418,0.00249173502860688,2.6963008351039
0.08,21.3,1.18045394631357,1.0657591227586,1.30749199290026,0.00146665138558767,2.69954605368643
0.06,20.9,1.17995501203552,1.04991522424308,1.3261011920572,0.00547679063328624,2.70004498796448
0.98,37.4,1.17737258264035,0.969729464248636,1.42947724026026,0.0990540662780873,2.70262741735966
0.1,21.6,1.17391380317968,1.06946743043826,1.28856062192661,0.000744626680013287,2.70608619682032
0.02,19.5,1.07643639976617,0.882257203223683,1.31335320188685,0.468018832249035,2.80356360023383
0.01,18.9,0.821428269569978,0.649880678580194,1.03825890550071,0.0997983077897116,3.05857173043002
