"","Overall"
"n","1699"
"Sex = Male (%)","612 (36.0)"
"Age (mean (SD))","47.90 (5.16)"
"White British Ancestry = 1 (%)","1361 (80.1)"
"C Reactive Protein (mean (SD))","3.16 (5.04)"
"Townsend Deprivation Index (mean (SD))","-0.43 (3.37)"
"Pooled Cohort Equation Risk (mean (SD))","0.02 (0.01)"
"LE8 Diet Score (mean (SD))","50.16 (32.25)"
"LE8 PA Score (mean (SD))","31.15 (28.55)"
"LE8 Smoking Score (mean (SD))","85.43 (30.79)"
"LE8 Sleep Health Points (mean (SD))","86.10 (22.38)"
"LE8 BMI Points (mean (SD))","63.90 (30.92)"
"LE8 Blood Lipid Points (mean (SD))","49.33 (28.38)"
"LE8 HbA1c Score (mean (SD))","94.92 (14.59)"
"LE8 BP Score (mean (SD))","53.34 (26.63)"
"LE8 Composite Score (mean (SD))","64.29 (10.57)"
"Family Heart Disease History (%)",""
"   both_parents","179 (10.5)"
"   father","425 (25.0)"
"   mother","218 (12.8)"
"   no_history","877 (51.6)"
"Familial Hypercholesterolemia Variant Status = 1 (%)","6 (100.0)"
